Date,Open,High,Low,Close,Adj Close,Volume
2020-08-07,61.389999,61.389999,59.779999,60.450001,58.024433,28427400
2020-08-10,60.700001,62.200001,60.410000,62.200001,59.704212,29341400
2020-08-11,62.790001,62.820000,60.160000,60.279999,57.861252,23822800
2020-08-12,60.880001,62.290001,60.580002,61.500000,59.032299,29627900
2020-08-13,61.400002,62.160000,60.110001,60.349998,57.928444,24906200
2020-08-14,60.349998,61.430000,60.299999,61.349998,58.888317,17848800
2020-08-17,61.779999,62.599998,61.150002,62.230000,59.733009,42786400
2020-08-18,63.299999,63.700001,62.849998,63.060001,60.529705,32205700
2020-08-19,63.410000,63.880001,62.330002,62.389999,59.886589,23537900
2020-08-20,61.820000,63.500000,61.669998,62.950001,60.424118,25866600
2020-08-21,62.410000,62.790001,61.509998,62.200001,59.704212,27242700
2020-08-24,62.939999,63.130001,62.240002,62.959999,60.433716,17944700
2020-08-25,62.799999,62.840000,61.049999,61.619999,59.147484,23543000
2020-08-26,61.660000,62.349998,61.240002,61.750000,59.272270,23924400
2020-08-27,61.689999,62.180000,60.330002,60.790001,58.350792,18201900
2020-08-28,61.180000,61.700001,60.630001,61.099998,58.648350,15040300
2020-08-31,61.099998,61.150002,59.680000,59.680000,57.285328,31080000
2020-09-01,60.290001,61.790001,60.200001,61.759998,59.281868,24197700
2020-09-02,61.900002,62.340000,60.320000,61.320000,58.859524,21797200
2020-09-03,60.000000,60.549999,58.849998,59.320000,56.939774,36117400
2020-09-04,59.709999,60.500000,58.700001,60.490002,58.062828,26636700
2020-09-08,59.590000,59.759998,58.910000,59.270000,56.891781,14663800
2020-09-09,59.900002,60.330002,59.369999,60.000000,57.592487,16481700
2020-09-10,60.000000,60.200001,58.320000,58.529999,56.181473,19431400
2020-09-11,60.049999,62.299999,59.840000,61.950001,59.464245,46057000
2020-09-14,62.799999,63.349998,61.380001,61.910000,59.425850,35710200
2020-09-15,62.709999,63.650002,62.150002,62.599998,60.088161,32570600
2020-09-16,62.320000,62.500000,60.650002,60.970001,58.523567,28843500
2020-09-17,60.400002,62.419998,60.110001,62.080002,59.589031,31397500
2020-09-18,62.480000,63.099998,61.660000,61.660000,59.185879,33143800
2020-09-21,61.049999,61.389999,59.439999,60.000000,57.592487,53120800
2020-09-22,58.139999,58.279999,57.150002,57.810001,57.810001,23996200
2020-09-23,57.669998,59.610001,57.060001,59.099998,59.099998,37365600
2020-09-24,59.689999,59.779999,58.439999,58.660000,58.660000,31607500
2020-09-25,58.349998,59.450001,58.200001,59.250000,59.250000,27582200
2020-09-28,59.939999,60.240002,58.700001,58.779999,58.779999,30265400
2020-09-29,58.730000,59.959999,58.349998,58.349998,58.349998,26201600
2020-09-30,59.209999,60.270000,58.750000,59.110001,59.110001,25947500
2020-10-01,59.529999,59.849998,58.020000,58.860001,58.860001,22852700
2020-10-02,58.610001,59.439999,58.110001,58.320000,58.320000,23668800
2020-10-05,58.900002,59.840000,58.750000,59.590000,59.590000,17887200
2020-10-06,60.009998,60.279999,58.209999,58.619999,58.619999,21951600
2020-10-07,59.139999,60.759998,58.959999,60.169998,60.169998,27276500
2020-10-08,60.349998,61.490002,60.060001,61.290001,61.290001,22207400
2020-10-09,61.689999,61.939999,60.849998,61.599998,61.599998,21120900
2020-10-13,61.270000,62.639999,61.029999,62.139999,62.139999,18602200
2020-10-14,62.080002,63.290001,62.040001,63.000000,63.000000,22210600
2020-10-15,62.410000,62.860001,61.980000,62.470001,62.470001,16309700
2020-10-16,62.700001,63.099998,62.240002,62.240002,62.240002,15783800
2020-10-19,62.730000,63.180000,61.950001,61.950001,61.950001,29276100
